CAFA0162;C-1M²;2372.88;2800.00;1.00
CAFA0163;C-1M²;2372.88;2800.00;1.00
CAFA0165;C-1M²;2372.88;2800.00;1.00
CAFA0166;C-1M²;2372.88;2800.00;1.00
CAFA0167;C-1M²;2372.88;2800.00;1.00
CAFA0168;C-1M²;2372.88;2800.00;1.00
CAFA0169;C-1M²;2457.62;2900.00;1.00
CAFA0170;C-1M²;2372.88;2800.00;1.00
CAFA0171;C-1M²;2372.88;2800.00;1.00
CAFA0172;C-1M²;2372.88;2800.00;1.00
CAFA0175;C-1M²;2372.88;2800.00;1.00
CAFA0176;C-1M²;4661.01;5500.00;1.00
CAFA0177;C-1M²;4661.02;5500.00;1.00
CAFA0178;C-1M²;5084.74;6000.00;1.00
CAFA0179;C-1M²;5084.74;6000.00;1.00
CAFA0180;C-1M²;5084.74;6000.00;1.00
CAFA0181;C-1M²;2118.64;2500.00;1.00
CAFA0182;C-1M²;2118.64;2500.00;1.00
CAFA0183;C-1M²;2118.64;2500.00;1.00
CAFA0184;C-1M²;2118.64;2500.00;1.00
CAFA0185;C-1M²;2118.64;2500.00;1.00
CAFA0186;C-1M²;2118.64;2500.00;1.00
CAFA0187;C-1M²;1864.40;2200.00;1.00
CAFA0188;C-1M²;1864.40;2200.00;1.00
CAFA0189;C-1M²;1864.40;2200.00;1.00
CARO0001;C-1M²;3500.00;4130.00;1.00
CARO0002;C-1M²;3500.00;3500.00;1.00
CARO0003;C-1M²;3500.00;3500.00;1.00
CARO0004;C-1M²;3500.00;3500.00;1.00
CARO0005;C-1M²;3500.00;3500.00;1.00
CARO0006;C-1M²;3500.00;3500.00;1.00
CARO0007;C-1M²;3050.84;3600.00;1.00
CARO0008;C-1M²;3050.84;3600.00;1.00
CARO0009;C-1M²;3050.84;3600.00;1.00
CARO0010;C-1M²;3500.00;3500.00;1.00
CARO0011;C-1M²;3500.00;3500.00;1.00
CARO0012;C-1M²;2700.00;2700.00;1.00
CARO0013;C-1M²;3500.00;3500.00;1.00
CARO0014;C-1M²;3500.00;3500.00;1.00
CARO0015;C-1M²;2900.00;2900.00;1.00
CARO0016;C-1M²;3500.00;3500.00;1.00
CARO0017;C-1M²;3500.00;3500.00;1.00
CARO0018;C-1M²;2500.00;2500.00;1.00
CARO0019;C-1M²;2500.00;2500.00;1.00
CARO0020;C-1M²;2500.00;2500.00;1.00
CARO0021;C-1M²;2500.00;2500.00;1.00
CARO0022;C-1M²;2500.00;2500.00;1.00
CARO0023;C-1M²;2500.00;2500.00;1.00
CARO0024;C-1M²;2500.00;2500.00;1.00
CARO0025;C-1M²;2500.00;2500.00;1.00
CARO0026;C-1M²;2500.00;2500.00;1.00
CARO0027;C-1M²;2500.00;2500.00;1.00
CARO0028;C-1M²;2500.00;2500.00;1.00
